Mat;Ind;Ipa;Ing;Rata;Jumlah
47.5;74;62.5;64;62;248
87.5;82;75;48;73.125;292.5
87.5;84;87.5;46;76.25;305
90;88;80;50;77;308
60;70;72.5;56;64.625;258.5
70;80;70;48;67;268
45;90;52.5;52;59.875;239.5
75;70;65;62;68;272
62.5;84;55;52;63.375;253.5
82.5;82;52.5;62;69.75;279
60;78;65;58;65.25;261
72.5;84;67.5;52;69;276
85;86;85;62;79.5;318
60;86;80;50;69;276
75;84;85;44;72;288
75;96;82.5;50;75.875;303.5
60;82;80;62;71;284
97.5;92;87.5;64;85.25;341
87.5;90;85;58;80.125;320.5
85;84;87.5;54;77.625;310.5
70;94;82.5;64;77.625;310.5
72.5;80;80;60;73.125;292.5
97.5;90;97.5;64;87.25;349
62.5;86;62.5;54;66.25;265
77.5;80;70;54;70.375;281.5
60;90;55;52;64.25;257
67.5;82;70;54;68.375;273.5
77.5;76;70;52;68.875;275.5
60;82;70;56;67;268
60;82;62.5;50;63.625;254.5
82.5;82;57.5;66;72;288
55;84;70;56;66.25;265
85;80;77.5;58;75.125;300.5
80;90;75;56;75.25;301
57.5;84;60;46;61.875;247.5
85;82;67.5;46;70.125;280.5
87.5;86;55;64;73.125;292.5
50;90;70;62;68;272
52.5;86;60;62;65.125;260.5
75;82;65;52;68.5;274
75;92;77.5;58;75.625;302.5
92.5;84;70;64;77.625;310.5
67.5;90;70;62;72.375;289.5
82.5;86;52.5;54;68.75;275
87.5;80;65;50;70.625;282.5
92.5;88;77.5;72;82.5;330
47.5;80;52.5;64;61;244
52.5;80;60;56;62.125;248.5
50;88;40;68;61.5;246
52.5;92;77.5;70;73;292
70;72;77.5;46;66.375;265.5
87.5;84;85;56;78.125;312.5
87.5;78;72.5;60;74.5;298
77.5;84;80;50;72.875;291.5
80;80;62.5;44;66.625;266.5
77.5;88;77.5;44;71.75;287
65;86;62.5;44;64.375;257.5
62.5;78;72.5;60;68.25;273
77.5;82;75;44;69.625;278.5
52.5;84;65;56;64.375;257.5
32.5;76;52.5;46;51.75;207
95;80;72.5;52;74.875;299.5
55;86;77.5;44;65.625;262.5
82.5;94;77.5;68;80.5;322
65;72;65;40;60.5;242
85;88;80;60;78.25;313
52.5;80;67.5;50;62.5;250
90;76;77.5;74;79.375;317.5
92.5;88;82.5;52;78.75;315
95;86;82.5;74;84.375;337.5
87.5;84;77.5;56;76.25;305
80;74;55;36;61.25;245
70;80;57.5;38;61.375;245.5
55;86;67.5;54;65.625;262.5
95;88;65;74;80.5;322
90;86;65;48;72.25;289
