Mat;Ind;Ipa;Ing;AVG;SUM;JURUSAN;;
65;92;72,5;56;71,375;285,5;MESIN PRODUKSI;;
85;86;87,5;36;73,625;294,5;MESIN PRODUKSI;;
65;84;75;34;64,5;258;MESIN PRODUKSI;;
55;90;72,5;46;65,875;263,5;MESIN PRODUKSI;;
97,5;80;67,5;62;76,75;307;MESIN PRODUKSI;;
55;90;60;50;63,75;255;MESIN PRODUKSI;;
80;94;80;66;80;320;MESIN PRODUKSI;;
100;88;82,5;54;81,125;324,5;MESIN PRODUKSI;;
75;82;62,5;36;63,875;255,5;MESIN PRODUKSI;;
62,5;88;80;64;73,625;294,5;MESIN PRODUKSI;;
45;80;70;68;65,75;263;MESIN PRODUKSI;;
60;78;70;50;64,5;258;MESIN PRODUKSI;;
52,5;92;72,5;52;67,25;269;MESIN PRODUKSI;;
60;92;70;68;72,5;290;MESIN PRODUKSI;;
82,5;82;60;66;72,625;290,5;MESIN PRODUKSI;;
45;86;70;54;63,75;255;MESIN PRODUKSI;;
85;76;77,5;60;74,625;298,5;MESIN PRODUKSI;;
75;82;77,5;80;78,625;314,5;MESIN PRODUKSI;;
70;92;77,5;70;77,375;309,5;MESIN PRODUKSI;;
62,5;76;67,5;46;63;252;MESIN PRODUKSI;;
65;80;57,5;56;64,625;258,5;MESIN PRODUKSI;;
87,5;90;90;66;83,375;333,5;MESIN PRODUKSI;;
65;88;65;62;70;280;MESIN PRODUKSI;;
70;84;77,5;50;70,375;281,5;MESIN PRODUKSI;;
70;80;80;48;69,5;278;MESIN PRODUKSI;;
67,5;82;62,5;58;67,5;270;MESIN PRODUKSI;;
75;80;80;66;75,25;301;MESIN PRODUKSI;;
90;92;85;68;83,75;335;MESIN PRODUKSI;;
97,5;86;82,5;70;84;336;MESIN PRODUKSI;;
92,5;90;77,5;62;80,5;322;MESIN PRODUKSI;;
82,5;86;82,5;64;78,75;315;MESIN PRODUKSI;;
62,5;82;75;38;64,375;257,5;MESIN PRODUKSI;;
82,5;82;82,5;72;79,75;319;OTOMOTIF;;
90;94;95;68;86,75;347;OTOMOTIF;;
85;88;82,5;78;83,375;333,5;OTOMOTIF;;
85;84;82,5;58;77,375;309,5;OTOMOTIF;;
77,5;84;60;56;69,375;277,5;OTOMOTIF;;
62,5;86;75;54;69,375;277,5;OTOMOTIF;;
85;86;77,5;64;78,125;312,5;OTOMOTIF;;
100;92;92,5;84;92,125;368,5;OTOMOTIF;;
57,5;70;65;68;65,125;260,5;OTOMOTIF;;
90;92;85;70;84,25;337;OTOMOTIF;;
87,5;94;82,5;64;82;328;OTOMOTIF;;
80;78;67,5;50;68,875;275,5;OTOMOTIF;;
77,5;82;80;58;74,375;297,5;OTOMOTIF;;
85;90;70;40;71,25;285;OTOMOTIF;;
65;92;65;66;72;288;OTOMOTIF;;
60;78;70;76;71;284;OTOMOTIF;;
67,5;88;85;78;79,625;318,5;OTOMOTIF;;
60;84;72,5;48;66,125;264,5;OTOMOTIF;;
100;92;77,5;78;86,875;347,5;OTOMOTIF;;
72,5;74;65;40;62,875;251,5;OTOMOTIF;;
55;90;62,5;68;68,875;275,5;OTOMOTIF;;
72,5;76;62,5;58;67,25;269;OTOMOTIF;;
72,5;76;60;64;68,125;272,5;OTOMOTIF;;
72,5;76;50;62;65,125;260,5;OTOMOTIF;;
57,5;78;70;74;69,875;279,5;OTOMOTIF;;
57,5;78;67,5;54;64,25;257;OTOMOTIF;;
65;80;82,5;78;76,375;305,5;OTOMOTIF;;
87,5;88;72,5;56;76;304;OTOMOTIF;;
55;90;60;62;66,75;267;OTOMOTIF;;
57,5;88;65;70;70,125;280,5;OTOMOTIF;;
37,5;84;57,5;86;66,25;265;OTOMOTIF;;
62,5;80;75;40;64,375;257,5;OTOMOTIF;;
92,5;82;60;48;70,625;282,5;OTOMOTIF;;
62,5;84;75;44;66,375;265,5;OTOMOTIF;;
82,5;80;60;52;68,625;274,5;OTOMOTIF;;
82,5;92;67,5;68;77,5;310;OTOMOTIF;;
52,5;74;77,5;52;64;256;OTOMOTIF;;
80;82;70;66;74,5;298;OTOMOTIF;;
85;84;70;48;71,75;287;OTOMOTIF;;
72,5;86;77,5;38;68,5;274;OTOMOTIF;;
75;90;70;74;77,25;309;OTOMOTIF;;
67,5;84;67,5;38;64,25;257;OTOMOTIF;;
72,5;70;72,5;38;63,25;253;OTOMOTIF;;
97,5;94;80;56;81,875;327,5;OTOMOTIF;;
62,5;80;67,5;60;67,5;270;OTOMOTIF;;
82,5;78;77,5;56;73,5;294;OTOMOTIF;;
72,5;86;75;66;74,875;299,5;OTOMOTIF;;
97,5;88;77,5;64;81,75;327;OTOMOTIF;;
70;80;70;46;66,5;266;OTOMOTIF;;
57,5;80;60;48;61,375;245,5;OTOMOTIF;;
60;84;75;44;65,75;263;OTOMOTIF;;
50;88;52,5;56;61,625;246,5;OTOMOTIF;;
52,5;84;62,5;76;68,75;275;OTOMOTIF;;
82,5;80;67,5;60;72,5;290;OTOMOTIF;;
