Mat;Ind;Ipa;Ing;Rata;Jumlah
55;86;65;40;61.50;246.00
62.5;76;52.5;44;58.75;235.00
65;92;72.5;52;70.38;281.50
55;80;62.5;46;60.88;243.50
62.5;74;47.5;50;58.50;234.00
42.5;84;45;58;57.38;229.50
40;76;47.5;48;52.88;211.50
42.5;80;42.5;50;53.75;215.00
70;68;60;44;60.50;242.00
50;78;60;30;54.50;218.00
45;72;57.5;50;56.13;224.50
60;82;57.5;44;60.88;243.50
45;84;47.5;42;54.63;218.50
35;78;62.5;64;59.88;239.50
47.5;78;60;66;62.88;251.50
45;84;70;44;60.75;243.00
